Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Experimental Condition [Media],Experimental Condition [Steps],Experimental Condition [Flow Control],Comment [Preculture],Source Name,Comment [Image File Path],Comment [Image File Type],Channels,Processed Data File
switch_20h,20161014_20161009_gfp_flatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 20h: A | 6h: B,syringe 5mL,ASC662: OD=0.182 (used 8ml out of 20ml) | MG1655 rpoS-mCherry KanR (Diana's transduction): OD=0.139 (6ml out of 10mL),20161014,Julou_2020_lacInduction_RawImages/20161014/20161009_gfp_flatfield/20161009_gfp_flatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_20h,20161014_glu_lac_20h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 20h: A | 6h: B,syringe 5mL,ASC662: OD=0.182 (used 8ml out of 20ml) | MG1655 rpoS-mCherry KanR (Diana's transduction): OD=0.139 (6ml out of 10mL),20161014,Julou_2020_lacInduction_RawImages/20161014/20161014_glu_lac_20h_1/20161014_glu_lac_20h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_24h,20161007_glu_lac_24h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 24h: A | 6h: B,syringe 5mL,- ASC662: OD=0.328 (used 6ml out of 10ml),20161007,Julou_2020_lacInduction_RawImages/20161007/20161007_glu_lac_24h_1/20161007_glu_lac_24h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_24h,20161007_20161009_gfp_flatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 24h: A | 6h: B,syringe 5mL,- ASC662: OD=0.328 (used 6ml out of 10ml),20161007,Julou_2020_lacInduction_RawImages/20161007/20161009_gfp_flatfield/20161009_gfp_flatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_24h,20180313_glu_lac_switch24h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 24h: A | 4h: B,pressure 15mL | pressure:  2150 / 1850 | flow: 1.85/0.5,- ASC662: OD=0.209 (used 15ml out of 20ml),20180313,Julou_2020_lacInduction_RawImages/20180313/20180313_glu_lac_switch24h_1/20180313_glu_lac_switch24h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_24h,20180313_20180315_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 4h: B | 24h: A | 4h: B,pressure 15mL | pressure:  2150 / 1850 | flow: 1.85/0.5,- ASC662: OD=0.209 (used 15ml out of 20ml),20180313,Julou_2020_lacInduction_RawImages/20180313/20180315_gfpFlatfield/20180315_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_12h_old,20160526_flatfield_ND4_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,4h: A | 4h: B | 12h: A | 6h: B,syringe 5mL,ASC662,20160526,Julou_2020_lacInduction_RawImages/20160526/20160526_gfpFlatField_ND4_1/20160526_flatfield_ND4_1_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_12h_old,20160526_lac_4_MMStack_Pos0.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,4h: A | 4h: B | 12h: A | 6h: B,syringe 5mL,ASC662,20160526,Julou_2020_lacInduction_RawImages/20160526/20160526_lac_4/20160526_lac_4_MMStack_Pos0.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_lactose_priming,20161212_switch_lactosePDMS_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,4h: A | 4h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 1.83 / 0.62,- ASC662: OD=0.077 (used 21ml out of 21ml),20161212,Julou_2020_lacInduction_RawImages/20161212/20161212_switch_lactosePDMS_1/20161212_switch_lactosePDMS_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_lactose_priming,20161213_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,4h: A | 4h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 1.83 / 0.62,- ASC662: OD=0.077 (used 21ml out of 21ml),20161212,Julou_2020_lacInduction_RawImages/20161212/20161213_gfpFlatfield/20161213_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_late,20161021_glu_lac_ctrl16h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,26h: A | 6h: B,syringe 5mL,- ASC662: OD=0.365 (used 14ml out of 20ml),20161021,Julou_2020_lacInduction_RawImages/20161021/20161021_glu_lac_ctrl16h_1/20161021_glu_lac_ctrl16h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_late,20161023_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,26h: A | 6h: B,syringe 5mL,- ASC662: OD=0.365 (used 14ml out of 20ml),20161021,Julou_2020_lacInduction_RawImages/20161021/20161023_gfpFlatfield/20161023_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_late,20170108_glu_lac_ctrl16h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,26h: A | 8h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 2.3 / 0.7,- ASC662: OD=0.264 (used 15ml out of 21ml),20170108,Julou_2020_lacInduction_RawImages/20170108/20170108_glu_lac_ctrl16h_1/20170108_glu_lac_ctrl16h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_late,20170110_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,26h: A | 8h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 2.3 / 0.7,- ASC662: OD=0.264 (used 15ml out of 21ml),20170108,Julou_2020_lacInduction_RawImages/20170108/20170110_gfpFlatfield/20170110_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_late,20180516_glu_lac_ctrl26h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,26h: A | 8h: B,pressure 15mL | pressure: 2150 / 1850 | flow: 1.8 / 0.4,- ASC662: OD=0.458 (used 15ml out of 15ml),20180516,Julou_2020_lacInduction_RawImages/20180516/20180516_glu_lac_ctrl26h_1/20180516_glu_lac_ctrl26h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_late,20180521_gfpFlatField_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,26h: A | 8h: B,pressure 15mL | pressure: 2150 / 1850 | flow: 1.8 / 0.4,- ASC662: OD=0.458 (used 15ml out of 15ml),20180516,Julou_2020_lacInduction_RawImages/20180516/20180521_gfpFlatField/20180521_gfpFlatField_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_late,20180615_glu_lac_ctrl26h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,26h: A | 8h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 2.15 / 0.8,- ASC662: OD=0.353 (used 15ml out of 15ml),20180615,Julou_2020_lacInduction_RawImages/20180615/20180615_glu_lac_ctrl26h_1/20180615_glu_lac_ctrl26h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_late,20180618_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,26h: A | 8h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 2.15 / 0.8,- ASC662: OD=0.353 (used 15ml out of 15ml),20180615,Julou_2020_lacInduction_RawImages/20180615/20180618_gfpFlatfield/20180618_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_pre_lac001_6h,20190604_ASC662_IPTG10_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.01% lactose + 1/250 beads,6h: A | 12h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.8/0.6,ASC662 (no TMG): OD=0.31 (used 3ml out of 3ml) | ASC662 (20uM TMG): OD=0.28 (used 3ml out of 4ml) | ASC662 (20uM TMG then no TMG): OD=0.39 (used 3ml out of 4ml),20190605,Julou_2020_lacInduction_RawImages/20190605/20190604_ASC662_IPTG10/20190604_ASC662_IPTG10_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_pre_lac001_6h,20190604_ASC662_IPTG20dil_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.01% lactose + 1/250 beads,6h: A | 12h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.8/0.6,ASC662 (no TMG): OD=0.31 (used 3ml out of 3ml) | ASC662 (20uM TMG): OD=0.28 (used 3ml out of 4ml) | ASC662 (20uM TMG then no TMG): OD=0.39 (used 3ml out of 4ml),20190605,Julou_2020_lacInduction_RawImages/20190605/20190604_ASC662_IPTG20dil/20190604_ASC662_IPTG20dil_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_pre_lac001_6h,20190605_glu_lowLac_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.01% lactose + 1/250 beads,6h: A | 12h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.8/0.6,ASC662 (no TMG): OD=0.31 (used 3ml out of 3ml) | ASC662 (20uM TMG): OD=0.28 (used 3ml out of 4ml) | ASC662 (20uM TMG then no TMG): OD=0.39 (used 3ml out of 4ml),20190605,Julou_2020_lacInduction_RawImages/20190605/20190605_glu_lowLac_1/20190605_glu_lowLac_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_pre_lac001_6h,20190606_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.01% lactose + 1/250 beads,6h: A | 12h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.8/0.6,ASC662 (no TMG): OD=0.31 (used 3ml out of 3ml) | ASC662 (20uM TMG): OD=0.28 (used 3ml out of 4ml) | ASC662 (20uM TMG then no TMG): OD=0.39 (used 3ml out of 4ml),20190605,Julou_2020_lacInduction_RawImages/20190605/20190606_gfpFlatfield/20190606_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_pre_lac001_10h,20190614_ASC662_IPTG20dil_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.01% lactose + 1/250 beads,10h: A | 12h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.9/0.6,ASC662 (no TMG): OD=0.24 (used 2.5ml out of 5ml) | ASC662 (20uM TMG): OD=0.24 (used 2.5ml out of 5ml) | ASC662 (20uM TMG then no TMG): OD=0.14 (used 4ml out of 5ml),20190614,Julou_2020_lacInduction_RawImages/20190614/20190614_ASC662_IPTG20dil/20190614_ASC662_IPTG20dil_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_pre_lac001_10h,20190614_glu_lowLac_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.01% lactose + 1/250 beads,10h: A | 12h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.9/0.6,ASC662 (no TMG): OD=0.24 (used 2.5ml out of 5ml) | ASC662 (20uM TMG): OD=0.24 (used 2.5ml out of 5ml) | ASC662 (20uM TMG then no TMG): OD=0.14 (used 4ml out of 5ml),20190614,Julou_2020_lacInduction_RawImages/20190614/20190614_glu_lowLac_1/20190614_glu_lowLac_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_pre_lac001_10h,20190616_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.01% lactose + 1/250 beads,10h: A | 12h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.9/0.6,ASC662 (no TMG): OD=0.24 (used 2.5ml out of 5ml) | ASC662 (20uM TMG): OD=0.24 (used 2.5ml out of 5ml) | ASC662 (20uM TMG then no TMG): OD=0.14 (used 4ml out of 5ml),20190614,Julou_2020_lacInduction_RawImages/20190614/20190616_gfpFlatfield/20190616_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_gly_lac,20170919_glyc_lac_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.4% glycerol + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,8h: A | 6h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.6/0.6,- ASC662: OD=0.11 (used 9ml out of 9ml),20170919,Julou_2020_lacInduction_RawImages/20170919/20170919_glyc_lac_1/20170919_glyc_lac_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_gly_lac,20170920_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.4% glycerol + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,8h: A | 6h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.6/0.6,- ASC662: OD=0.11 (used 9ml out of 9ml),20170919,Julou_2020_lacInduction_RawImages/20170919/20170920_gfpFlatfield/20170920_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_gly_lac,20170920_glyc_lac_6h_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.4% glycerol + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,8h: A | 6h: B | ,pressure 15mL | pressure: 2460 / 2140 | flow: 2.3/0.65,- ASC662: OD=0.088 (used 12ml out of 12ml),20170920,Julou_2020_lacInduction_RawImages/20170920/20170920_glyc_lac_6h_1/20170920_glyc_lac_6h_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_withIPTG1uM,20161130_switch_IPTG1uM_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1uM IPTG + 1/100 PB | B: M9 0.2% lactose + 1uM IPTG + 1/100 PB + 1/250 beads,6h: A | 4h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 2.37 / 0.62,- ASC662: OD=0.439 (used 12ml out of 20ml),20161130,Julou_2020_lacInduction_RawImages/20161130/20161130_switch_IPTG1uM_1/20161130_switch_IPTG1uM_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_withIPTG1uM,20161202_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1uM IPTG + 1/100 PB | B: M9 0.2% lactose + 1uM IPTG + 1/100 PB + 1/250 beads,6h: A | 4h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 2.37 / 0.62,- ASC662: OD=0.439 (used 12ml out of 20ml),20161130,Julou_2020_lacInduction_RawImages/20161130/20161202_gfpFlatfield/20161202_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_withIPTG5uM,20161207_switch_IPTG5uM_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 5uM IPTG + 1/100 PB | B: M9 0.2% lactose + 5uM IPTG + 1/100 PB + 1/250 beads,6h: A | 4h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 2.37 / 0.62,- ASC662: OD=0.214 (used 15ml out of 20ml),20161207,Julou_2020_lacInduction_RawImages/20161207/20161207_switch_IPTG5uM_1/20161207_switch_IPTG5uM_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_withIPTG5uM,20161208_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 5uM IPTG + 1/100 PB | B: M9 0.2% lactose + 5uM IPTG + 1/100 PB + 1/250 beads,6h: A | 4h: B,pressure 15mL | pressure: 2460 / 2140 | flow: 2.37 / 0.62,- ASC662: OD=0.214 (used 15ml out of 20ml),20161207,Julou_2020_lacInduction_RawImages/20161207/20161208_gfpFlatfield/20161208_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_withIPTG5uM,20180122_20180118_gfpFlatfield_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 5uM IPTG + 1/100 PB | B: M9 0.2% lactose +50uM IPTG + 1/100 PB + 1/250 beads,6h: A | 4h: B,pressure 15mL | pressure:  2460 / 2140 | flow: 2.1/0.6,- ASC662: OD=0.525 (used 15ml out of 20ml),20180122,Julou_2020_lacInduction_RawImages/20180122/20180118_gfpFlatfield/20180118_gfpFlatfield_MMStack.ome.tif,flatfield,"Phase Contrast, GFP [epifluorescence]",
switch_withIPTG5uM,20180122_glu_lac_IPTG5uM_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 5uM IPTG + 1/100 PB | B: M9 0.2% lactose +50uM IPTG + 1/100 PB + 1/250 beads,6h: A | 4h: B,pressure 15mL | pressure:  2460 / 2140 | flow: 2.1/0.6,- ASC662: OD=0.525 (used 15ml out of 20ml),20180122,Julou_2020_lacInduction_RawImages/20180122/20180122_glu_lac_IPTG5uM_1/20180122_glu_lac_IPTG5uM_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
switch_lacIoe,20180116_glu_lac_lacIoe_1_MMStack.ome.tif,Escherichia coli,NCBITaxon,562,ASC662 (MG1655 lacZ-GFPmut2),A: M9 0.2% glucose + 1/100 PB | B: M9 0.2% lactose + 1/100 PB + 1/250 beads,6h: A | 12h: B,pressure 15mL | pressure:  2460 / 2140 | flow: 2.45/0.65,- ASC662[p_lacI]: OD=0.317 (used 15ml out of 20ml),20180116,Julou_2020_lacInduction_RawImages/20180116/20180116_glu_lac_lacIoe_1/20180116_glu_lac_lacIoe_1_MMStack.ome.tif,raw,"Phase Contrast, GFP [epifluorescence]",
